cuffids	scaffold	cuffstart	cuffstop	annstart	annstop	ongene	oncds	onmRNA	onexon	onte	onprotein	onmatch	neargene	nearcds	nearmRNA	nearexon	nearte	nearprotein	nearmatch	numneargenes	IPRnumber	IPRtext	GOnumber	GOtext
900.1	11.0	394684.0	395395.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
916.1	11.0	626019.0	627848.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
916.1	11.0	626019.0	627848.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
932.1	11.0	1046513.0	1046725.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1017.1	11.0	2934822.0	2935990.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1018.1	11.0	2948459.0	2948663.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1093.1	11.0	3820667.0	3820760.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1123.1	11.0	4262195.0	4262444.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1229.2	11.0	5967881.0	5968475.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1270.1	11.0	5993314.0	5993628.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1274.1	11.0	6251318.0	6251841.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1274.1	11.0	6251948.0	6252103.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1436.1	11.0	7818928.0	7819250.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1451.1	11.0	7971620.0	7971983.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1460.1	11.0	8044177.0	8045663.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1463.1	11.0	8119389.0	8121202.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1464.1	11.0	8129263.0	8129505.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1465.1	11.0	7891832.0	7892241.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1525.1	11.0	8774987.0	8775845.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1563.1	11.0	9091787.0	9092208.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1571.1	11.0	9081438.0	9081772.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1572.1	11.0	9160930.0	9161109.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1649.1	11.0	9410994.0	9411672.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1683.1	11.0	9997497.0	9998344.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1701.1	11.0	10212380.0	10212569.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1755.1	11.0	10448681.0	10448797.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1755.1	11.0	10448681.0	10449533.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1755.1	11.0	10448983.0	10449217.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1780.1	11.0	10826473.0	10826633.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1785.1	11.0	10800198.0	10800603.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1794.2	11.0	10889181.0	10889332.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1877.1	11.0	11629016.0	11629364.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1915.1	11.0	12313201.0	12314019.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
1919.1	11.0	12296133.0	12296546.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2007.1	11.0	13738237.0	13738417.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2128.1	11.0	14665553.0	14665758.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2363.1	11.0	16242595.0	16242742.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2377.1	11.0	16373312.0	16373553.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2448.1	11.0	16989733.0	16991197.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2448.1	11.0	16990521.0	16990661.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2477.1	11.0	17198859.0	17198958.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2537.1	11.0	17591148.0	17591307.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2627.1	1212.0	1507.0	2150.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2675.1	1442.0	545.0	1098.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2712.1	1573.0	183.0	803.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2757.1	1627.0	242446.0	242691.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2849.1	1627.0	1132865.0	1133018.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2978.1	1627.0	2161603.0	2161731.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3048.2	1627.0	3078281.0	3078374.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3109.2	1627.0	3672539.0	3673903.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3188.1	1627.0	5364338.0	5364840.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3236.1	1627.0	6019392.0	6019512.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3240.1	1627.0	6020909.0	6021238.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3244.1	1627.0	6140002.0	6140887.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3284.1	1627.0	6550989.0	6551119.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3337.1	1628.0	322674.0	322771.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3337.1	1628.0	323227.0	323290.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3396.1	1628.0	634396.0	636114.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3464.1	1628.0	1171760.0	1171782.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3538.1	1628.0	1920030.0	1920343.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3607.1	1628.0	2753262.0	2754713.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3615.1	1628.0	2949633.0	2949791.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3636.1	1628.0	2828868.0	2829250.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3673.1	1628.0	3884063.0	3884237.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3678.3	1628.0	3527914.0	3528054.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3703.1	1628.0	4272421.0	4274415.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3704.1	1628.0	4286165.0	4286402.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3895.2	1628.0	5775704.0	5775767.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3959.1	1628.0	6037413.0	6037429.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
3998.1	1628.0	6534073.0	6534256.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4015.1	1628.0	6675109.0	6675412.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4087.1	1628.0	7153029.0	7154209.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4158.1	1628.0	7578213.0	7580084.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4181.1	1628.0	7939933.0	7940297.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4185.1	1628.0	8006771.0	8006818.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4204.1	1628.0	8065636.0	8066431.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4225.1	1628.0	7345895.0	7346784.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4234.1	1628.0	8375270.0	8375445.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4300.1	1628.0	9075543.0	9075708.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4306.1	1628.0	9269096.0	9269263.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4334.1	1628.0	9368534.0	9368664.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4347.1	1628.0	9423460.0	9423557.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4394.1	1628.0	9824464.0	9824906.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4457.1	1628.0	10531841.0	10532039.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4459.1	1628.0	10537891.0	10538131.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4485.1	1628.0	10699456.0	10699547.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4517.1	1628.0	10780833.0	10781184.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4546.1	1628.0	10865081.0	10865323.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4546.1	1628.0	10865957.0	10866089.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4638.1	1628.0	11326588.0	11327255.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4657.2	1628.0	11497927.0	11498049.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4657.3	1628.0	11500267.0	11500544.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4736.1	1628.0	12102130.0	12102365.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4739.1	1628.0	12088821.0	12089051.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4757.1	1628.0	12193031.0	12193116.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4764.1	1628.0	12225294.0	12225363.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4791.1	1628.0	12489081.0	12489376.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4817.1	1628.0	12849136.0	12849576.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4819.1	1628.0	12850244.0	12850438.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4843.1	1628.0	13111799.0	13111970.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4843.1	1628.0	13114359.0	13114687.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4848.1	1628.0	13173912.0	13174551.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4865.2	1628.0	13191059.0	13191346.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
4913.1	1628.0	14100185.0	14100506.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5056.1	1628.0	16151586.0	16151913.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5058.1	1628.0	16185898.0	16186183.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5069.1	1628.0	16343823.0	16343967.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5113.1	1628.0	16738696.0	16739726.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5126.1	1628.0	16785409.0	16785535.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5150.2	1628.0	16838469.0	16838619.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5232.1	1628.0	17811362.0	17811383.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5413.1	1628.0	19518902.0	19519987.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5423.1	1628.0	19552554.0	19552907.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5426.1	1628.0	19538344.0	19538563.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5441.1	1628.0	19866829.0	19866987.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5556.1	1628.0	20499215.0	20501289.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5590.1	1628.0	20895351.0	20895535.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5623.1	1628.0	21401781.0	21401847.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5749.2	1628.0	22437827.0	22438062.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5765.1	1628.0	22667175.0	22667333.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5844.1	1631.0	4651.0	4801.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5870.1	1631.0	357370.0	357835.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
5937.1	1631.0	1149403.0	1153641.0	1140047~1160293	1143695~1181683	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR002502;IPR006619;IPR015510;IPR036505~IPR002059;IPR011129;IPR012340;IPR019844		GO:0008270;GO:0008745;GO:0009253~GO:0003676	"GO:0008270	level-06	depth-06	zinc ion binding [molecular_function];GO:0008745	level-03	depth-05	N-acetylmuramoyl-L-alanine amidase activity [molecular_function];GO:0009253	level-07	depth-07	peptidoglycan catabolic process [biological_process]~GO:0003676	level-03	depth-03	nucleic acid binding [molecular_function]"
6016.1	1631.0	2523787.0	2523895.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
6056.1	1631.0	2844809.0	2847467.0	2846117	2853516	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000719;IPR011009;IPR017441;IPR028749		GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0035556	"GO:0004672	level-03	depth-05	protein kinase activity [molecular_function];GO:0004674	level-04	depth-06	protein serine/threonine kinase activity [molecular_function];GO:0005524	level-05	depth-08	ATP binding [molecular_function];GO:0006468	level-05	depth-06	protein phosphorylation [biological_process];GO:0035556	level-03	depth-05	intracellular signal transduction [biological_process]"
6090.1	1631.0	2941858.0	2942093.0	2936776~2947934	2937600~2951142	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR000652;IPR013785;IPR035990~		GO:0003824;GO:0004807~	"GO:0003824	level-01	depth-01	catalytic activity [molecular_function];GO:0004807	level-05	depth-05	triose-phosphate isomerase activity [molecular_function]~"
6099.1	1631.0	3226420.0	3227195.0	3214462~3230763~3233747	3218858~3233669~3234268	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	IPR006968~IPR002020;IPR016142;IPR016143;IPR036969~IPR002020;IPR016142;IPR036969		~GO:0046912~GO:0046912	"~GO:0046912	level-04	depth-04	acyltransferase activity, acyl groups converted into alkyl on transfer [molecular_function]~GO:0046912	level-04	depth-04	acyltransferase activity, acyl groups converted into alkyl on transfer [molecular_function]"
6112.1	1631.0	3312821.0	3313029.0	3319884	3333109	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	IPR036259			
6123.1	1631.0	3323516.0	3323698.0	3319884	3333109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR036259			
6155.1	1631.0	3568040.0	3568394.0	3546894~3560964~3572296	3560462~3563934~3573526	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	IPR021629~IPR021629~		~~	~~
6214.1	1631.0	4278439.0	4280049.0	4281675	4308985	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	IPR004481;IPR004837		GO:0016021;GO:0055085	"GO:0016020	level-02	depth-02	membrane [cellular_component];GO:0055085	level-02	depth-04	transmembrane transport [biological_process]"
6269.1	1631.0	4690512.0	4691328.0	4690673	4702581	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR003959;IPR021911;IPR027417;IPR039188		GO:0005524;GO:0005739;GO:0007005	"GO:0005524	level-05	depth-08	ATP binding [molecular_function];GO:0005739	level-05	depth-05	mitochondrion [cellular_component];GO:0007005	level-05	depth-05	mitochondrion organization [biological_process]"
6323.1	1631.0	5313436.0	5315572.0	5304366	5317537	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR001734;IPR038377		GO:0016020;GO:0022857;GO:0055085	"GO:0016020	level-02	depth-02	membrane [cellular_component];GO:0022857	level-02	depth-02	transmembrane transporter activity [molecular_function];GO:0055085	level-02	depth-04	transmembrane transport [biological_process]"
6339.1	1631.0	5366486.0	5367058.0	5350457~5368186	5359104~5375533	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR004481~		~	~
6349.1	1631.0	5406804.0	5407765.0	5406771	5421966	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	IPR001382;IPR012341;IPR036026		GO:0003824;GO:0004571;GO:0005509;GO:0016020	"GO:0003824	level-01	depth-01	catalytic activity [molecular_function];GO:0004571	level-08	depth-08	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [molecular_function];GO:0005509	level-05	depth-05	calcium ion binding [molecular_function];GO:0016020	level-02	depth-02	membrane [cellular_component]"
6483.1	1631.0	6427866.0	6428548.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
6530.1	1631.0	6738403.0	6742196.0	6726592~6742872~6750593	6734355~6746275~6760193	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	IPR004087;IPR004088;IPR036612~~IPR029553		GO:0003676;GO:0003723~~GO:0005887;GO:0038062	"GO:0003676	level-03	depth-03	nucleic acid binding [molecular_function];GO:0003723	level-04	depth-04	RNA binding [molecular_function]~~GO:0005886	level-03	depth-03	plasma membrane [cellular_component];GO:0038062	level-05	depth-08	protein tyrosine kinase collagen receptor activity [molecular_function]"
6538.1	1631.0	6916625.0	6916856.0	6903531	6908762	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	IPR000608;IPR009060;IPR015940;IPR016135;IPR023313		GO:0005515	"GO:0005515	level-02	depth-02	protein binding [molecular_function]"
6541.1	1631.0	6907076.0	6908759.0	6903531	6908762	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000608;IPR009060;IPR015940;IPR016135;IPR023313		GO:0005515	"GO:0005515	level-02	depth-02	protein binding [molecular_function]"
6542.1	1631.0	6955938.0	6956584.0	6956372	6963378	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000615;IPR021134			
6737.1	1631.0	8377999.0	8378315.0	8364860	8378812	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR001806;IPR020849;IPR027417		GO:0003924;GO:0005525;GO:0007165;GO:0016020	"GO:0003924	level-07	depth-07	GTPase activity [molecular_function];GO:0005525	level-05	depth-08	GTP binding [molecular_function];GO:0007165	level-02	depth-04	signal transduction [biological_process];GO:0016020	level-02	depth-02	membrane [cellular_component]"
6778.1	1631.0	8640621.0	8641857.0	8636770	8656029	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000198;IPR001849;IPR008936;IPR011993;IPR029071		GO:0007165	"GO:0007165	level-02	depth-04	signal transduction [biological_process]"
6798.1	1631.0	8776368.0	8776524.0	8746506~8778006	8768757~8786643	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR002110;IPR020683;IPR036770~IPR031775		GO:0005515~GO:0019901	"GO:0005515	level-02	depth-02	protein binding [molecular_function]~GO:0019901	level-05	depth-05	protein kinase binding [molecular_function]"
6817.1	1631.0	8868205.0	8868431.0	8868495	8869466	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1				
6827.1	1631.0	8969056.0	8969811.0	8959226~8974204	8967546~8980437	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR006603;IPR016817~IPR011685;IPR033122		~GO:0043022	"~GO:0043022	level-04	depth-04	ribosome binding [molecular_function]"
6855.1	1631.0	9506204.0	9506707.0	9500064~9508455	9500810~9532613	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR007763~IPR039034		GO:0008137;GO:0009055;GO:0016020~GO:0016316	"GO:0008137	level-04	depth-07	NADH dehydrogenase (ubiquinone) activity [molecular_function];GO:0009055	level-03	depth-03	electron transfer activity [molecular_function];GO:0016020	level-02	depth-02	membrane [cellular_component]~GO:0016316	level-08	depth-09	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [molecular_function]"
6874.1	1631.0	9553988.0	9554087.0	9538208~9557860	9545637~9573779	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR001494;IPR011989;IPR016024~IPR000719;IPR011009		GO:0006886;GO:0008536~GO:0004672;GO:0005524;GO:0006468	"GO:0006886	level-04	depth-07	intracellular protein transport [biological_process];GO:0031267	level-05	depth-05	small GTPase binding [molecular_function]~GO:0004672	level-03	depth-05	protein kinase activity [molecular_function];GO:0005524	level-05	depth-08	ATP binding [molecular_function];GO:0006468	level-05	depth-06	protein phosphorylation [biological_process]"
6928.1	1631.0	9952609.0	9954194.0	9952549	9954095	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR026150			
6958.1	1631.0	10115416.0	10115655.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
6965.1	1631.0	10128381.0	10128485.0	10127231	10133854	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000719;IPR001245;IPR011009		GO:0004672;GO:0005524;GO:0006468	"GO:0004672	level-03	depth-05	protein kinase activity [molecular_function];GO:0005524	level-05	depth-08	ATP binding [molecular_function];GO:0006468	level-05	depth-06	protein phosphorylation [biological_process]"
6973.1	1631.0	10141749.0	10143685.0	10141091	10145470	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR038508			
7038.1	1631.0	10594218.0	10594998.0	10579314	10594736	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR011990		GO:0005515	"GO:0005515	level-02	depth-02	protein binding [molecular_function]"
7156.1	1631.0	11936441.0	11936881.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
7188.1	1631.0	12117665.0	12118406.0	12103758	12118800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000210;IPR011333		GO:0005515	"GO:0005515	level-02	depth-02	protein binding [molecular_function]"
7193.1	1631.0	12126143.0	12127059.0	12103758~12127674	12118800~12149689	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR000210;IPR011333~IPR000535;IPR008962;IPR013783;IPR016763		GO:0005515~GO:0005789	"GO:0005515	level-02	depth-02	protein binding [molecular_function]~GO:0005789	level-04	depth-04	endoplasmic reticulum membrane [cellular_component]"
7283.1	1631.0	12921756.0	12922023.0	12922950	12923479	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	IPR000014;IPR001067;IPR011598;IPR036638		GO:0003700;GO:0005634;GO:0005667;GO:0005737;GO:0006355;GO:0046983	"GO:0003700	level-02	depth-02	DNA-binding transcription factor activity [molecular_function];GO:0005634	level-05	depth-05	nucleus [cellular_component];GO:0005667	level-02	depth-02	transcription regulator complex [cellular_component];GO:0005737	level-02	depth-02	cytoplasm [cellular_component];GO:0006355	level-06	depth-09	regulation of DNA-templated transcription [biological_process];GO:0046983	level-03	depth-03	protein dimerization activity [molecular_function]"
7341.1	1631.0	13302556.0	13302737.0	13266173~13308358	13294657~13332501	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	IPR000873;IPR020845;IPR025110;IPR032387~IPR022398;IPR036852		GO:0003824~GO:0004252;GO:0006508	"GO:0003824	level-01	depth-01	catalytic activity [molecular_function]~GO:0004252	level-05	depth-05	serine-type endopeptidase activity [molecular_function];GO:0006508	level-04	depth-05	proteolysis [biological_process]"
7352.1	1631.0	13336886.0	13336977.0	13336393	13343590	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	IPR037931		GO:0016589;GO:0071339	"GO:0016589	level-05	depth-06	NURF complex [cellular_component];GO:0071339	level-05	depth-07	MLL1 complex [cellular_component]"
7364.2	1631.0	13213887.0	13214080.0	13212678	13218236	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
7364.2	1631.0	13213887.0	13214403.0	13212678	13218236	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
7365.1	1631.0	13213887.0	13214816.0	13212678	13218236	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
7492.1	1631.0	15058627.0	15058998.0	15044399~15065630	15057269~15074603	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	~IPR000242;IPR000387;IPR003595;IPR016130;IPR029021		~GO:0004725;GO:0006470;GO:0016311;GO:0016791	"~GO:0004725	level-04	depth-07	protein tyrosine phosphatase activity [molecular_function];GO:0006470	level-05	depth-06	protein dephosphorylation [biological_process];GO:0016311	level-05	depth-05	dephosphorylation [biological_process];GO:0016791	level-05	depth-05	phosphatase activity [molecular_function]"
